ID	Name	_CATEGORY	UiID	Genre	SubType	DetailType	Quality	Price	BindType	MaxExistTime	MaxExistAmount	MaxDurability	CanStack	CanConsume	CanTrade	CanDestroy	ScriptName	SkillID	SkillLevel	_LEVEL	CoolDownID	RequireLevel	RequireProfessionID	RequireProfessionBranch	RequireProfessionLevel	RequireGender	CanUseOnHorse	CanUseInFight	CanGoodCampUse	CanEvilCampUse	CanNeutralCampUse	AucGenre	AucSubType	RequireForce	RequireCamp	TargetType	ExistType	MapBanUseItemMask	IgnoreBindMask	BelongForceMask	CanShared	MapBanTradeItemMask	MapCanExistItemMask	FurnitureID
0	道具家具测试	默认分类		20	0	0	0	0	1	0	0	1	1	0	1	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	21	1	0	7	0	0	7	0	65013759	0	6	0	1
1	道具家具测试	默认分类	163777	20	1	1	1	5	1	1800	0	5	1	1	1	1		0	0	0	657	0	0	0	0	0	0	0	1	1	1	21	1	0	1	0	3	7	4	65013759	0	6	0	101
2	永相携	默认分类	164926	20	1	1	4	5	1		0	5	1	1	1	1		0	0	0	657	0	0	0	0	0	0	0	1	1		21	3	0		0		7	4	65013759	0	6	0	102
3	道具家具测试	默认分类	163779	20	1	1	3	5	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	103
4	道具家具测试	默认分类	163780	20	1	1	4	5	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	104
5	道具家具测试	默认分类	163781	20	1	1	5	5	1	0	0	5	1	1	1	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	105
6	铃兰	家园种植	164668	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	789
7	柳叶水甘草	家园种植	164669	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	784
8	紫色石竹花	家园种植	164670	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	786
9	六瓣葱莲	家园种植	164925	20	1	1	3	5	3	0	0	5	1	1	0	1		0	0	0		0	0	0	0	0	0	0	1	1	1	21	3	0	7	0	0	7	0	65013759	0	6	0	787
